text	label
富士通邱峻施展连环手筋 周睿羊屠龙差一气(多谱) 新浪体育讯 北京时间4月11日，第22届富士通杯世界职业围棋锦标赛首轮比赛在日本开战。本轮中国棋手邱峻击败中华台北的林至涵，顺利晋级；周睿羊则中盘不敌日本的高尾绅路，无缘次轮。以下是这两盘棋的精彩瞬间。 图1：邱峻执白对阵林至涵。右边的战斗黑棋可能出现了误算，白棋第66手(图中三角标记一子)一贴，黑棋难办。局部黑棋在1位扳头最强，可是白棋在2位一长，黑只得跟着爬，白棋在4位一冲，黑棋不敢在A位档，否则白棋B位一夹，黑棋中央三子棋筋被吃。5跳是最强抵抗，但白棋在6位扳，右边四子难逃一死。 图2：实战黑棋在2位抱吃，白棋3位贴时，黑棋只得在4位断，防备白棋A位的尖。白棋吃掉中腹二子厚壮无比，作战成功。 图3：周睿羊五段执黑对阵高尾绅路九段。布局黑棋采用了变相中国流的大模样下法，白棋打入实属必然。白靠的时候已经算好了以下2、4、8的腾挪手段，黑不肯示弱，但却没有更好的选择，之后至18属于一本道，再先手于22、24、26位便宜，不仅出头顺畅、顺利活出，更取得了先手，布局白成功。 图4：黑棋周睿羊自觉形势不乐观，遂对中央白棋痛下杀手。但由于自身气紧棋薄的原因，反而被吃。黑1以下如继续顽抗，白棋有10位团的长气好手，黑差一气被杀。(小草)	体育
田径大戏15日鸟巢正式打响 八大焦点聚焦亿万目光 北京奥运会的第一大项??田径项目的争夺，15日将在刚刚举行了开幕式的“鸟巢”全面点燃战火。届时，在长达10天、47枚金牌的争夺中，可谓好戏连台，其中八大焦点更是会聚集亿万体育迷的目光。 焦点一：“飞人”大战强强碰撞 男、女100米“飞人”之争，历来是田径赛场的最大看点，本届奥运会男子100米争夺更是火药味浓烈。牙买加双雄鲍威尔、博尔特，加上美国的盖伊，可谓三强鼎立，水平相当。 25岁的鲍威尔是原9秒74的世界纪录保持者，上月底刚刚跑出9秒82的佳绩。博尔特今年已经两次跑进9秒80；5月31日更是以9秒72创世界纪录，一战红变天下。作为去年世锦赛的100米、200米双料冠军，盖伊6月底在美国选拔赛上，也以9秒77闯入9秒80。 有意思得是，北京奥运会开幕后第二天的8月9日，盖伊刚刚渡过了自己26岁生日。奥运会男子100米决赛16日进行，21日恰恰就是博尔特22岁生日。为了拿到一份生日厚礼，这两名“冤家对头”更当奋力一搏。 女子100米争夺，仍会是美国、牙买加较劲。美国选手爱德华兹、穆纳·李今年的最好成绩分别为10秒78、10秒85；牙买加的斯图尔特、弗拉瑟尔的最好成绩依次为10秒80、10秒85。届时，无论谁胜出都不奇怪。 焦点二：刘翔罗伯斯一决雌雄 自从罗伯斯6月12日改写刘翔保持的男子110米栏世界纪录以来，这位“古巴小子”的“气焰”越来越甚嚣尘上。今年以来，他8次参加国际比赛7次夺冠，且已经两度跑进12秒90。 刘翔因为腿伤影响，今年的最好成绩只有13秒18。不过，他毕竟是雅典奥运会冠军和前世界纪录保持者，加上占有地利只优，北京奥运会卫冕110米栏的呼声仍然很高。 据说经过孙海平教练的精心调教，刘翔的状态已经越来越好。上届奥运会，他以12秒91平世界纪录的成绩夺金。应该说，越是大赛越善于发挥的刘翔，以及罗伯斯，依旧是北京奥运会110米栏冠军的两大热门。 当然，美国第一次参加奥运会的奥利弗、以及两届奥运会银牌获得者特拉梅尔，也不能小视。26岁的前者今年最好成绩为12秒95，而且还在柏林击败过罗伯斯。29岁的后者今年个人最好成绩只有13秒08，但去年曾两度跑进13秒；最好水平为12秒95。 焦点三：“女布勃卡”再飞新高 上届奥运会，俄罗斯女子撑竿跳高选手伊辛巴耶娃以4米91的新世界纪录夺冠，成为田径赛场的一大亮点。本届奥运会，这位“女布勃卡”完全有可能再次冲击新的世界纪录。 今年7月以来，伊辛巴耶娃连续表现出非常高的水准和创造优异成绩的欲望。7月11日，她先是在罗马跳过5米02，将自己保持的世界纪录提高了1公分；半个月后在伦敦，越过了4米93高度。 7月29日转战摩纳哥，伊辛巴耶娃又一次征服了5米03的新高度；而且，她的身体在越过横杆时，明显还有上升余地，这就增加了伊辛巴耶娃再次冲击世界纪录的信心和可能性。 雅典奥运会时，伊辛巴耶娃可以说是唱独角戏，她的成绩高出亚军16公分之多。北京奥运会，这种局面将不复存在，因为美国26岁的斯图塞恩斯基，已经开始对伊辛巴耶娃构成了威胁。 今年5月中旬，斯图塞恩斯基在斯德哥尔摩跳过了4米92；二十天后在尤金举行的美国奥运会选拔赛上，她又创造了4米93的个人新水平。 斯图塞恩斯基甚至已经提出，也要瞄准世界纪录。北京奥运会，有她紧追不舍，相信伊辛巴耶娃丝毫也不敢懈怠。	体育
新版F1车手年薪榜：阿隆索3千万欧 KIMI仍高居第三 新浪体育讯 日前，西班牙媒体《El Mundo》发表了新版F1车手收入排行榜，法拉利车手费尔南多-阿隆索以3000万欧元居首。已经离开F1的莱科宁以1600万欧元的法拉利违约补偿金高居第三。 《El Mundo》的数据来自《Business Book GP》，披露阿隆索从法拉利车队得到的年薪(不包括个人赞助商)为3000万欧元。英国车手汉密尔顿第二，年薪1600万欧元。排名第三的车手不在F1围场，他是芬兰冰人莱科宁，他今年从法拉利得到大约1600万欧元的违约金。另一位法拉利车手马萨年薪1400万位居第四。 在位世界冠军巴顿年薪仅为900万欧元。七届世界冠军舒马赫年薪800万欧元。罗斯博格从梅塞德斯拿到的薪水与舒马赫相同，也是800万欧元。雷诺大当家库比卡年薪750万欧元，真是物美价廉。 巴西老将巴里切罗年薪550万欧元。澳洲老将韦伯420万欧元。而天才小将维泰尔年薪仅为200万欧元，甚至还不如莲花车手特鲁利和科瓦莱宁，他们两人年薪都是300万欧元。 维珍车手格洛克年薪为100万欧元。而新秀霍肯伯格只能从威廉姆斯拿到70万欧元。两位索伯车手德拉罗萨和小林可梦伟年薪同为50万欧元。佩特罗夫、阿圭苏阿里和布埃米同为40万欧元。迪格拉西20万欧元。 统计名单中年薪最低的是巴西车手小塞纳，年薪15万欧元。而两位印度力量车手和印度车手查铎没有出现在统计名单中。 西班牙《El Mundo》统计的F1车手年薪排名(单位/欧元)： (SINAF1)	体育
24岁博阿滕宣布退出加纳国家队 AC米兰获意外利好 新浪体育讯 北京时间11月5日消息，AC米兰(微博)阵中大将凯文-普林斯-博阿滕已向加纳足协递交了退出国家队的申请，加纳足协官方网站证实了这一消息，并表示目前足协还没有做出答复，不过由于球员态度坚决，退出已成定局。 博阿滕写给加纳足协的心中称，同时为俱乐部和国家队比赛感到身心疲惫，而且由于近来伤病不断，他自己觉得两线奔波有些力不从心。博阿滕表示，最近他接受了医生的建议，将进行一系列的康复治疗，如果在明年年初参加非洲国家杯的比赛，将会打乱他的治疗计划。在加纳足协官网的文章最后，足协明确表态还没有同意博阿滕的请求。 博阿滕今年24岁，1987年他出生于德国柏林，父亲是加纳人，母亲则是德国人。此后他曾代表德国各级别青年队参加了40多场比赛，不过他一直没有被德国国家队征召。2006年，19岁的博阿滕为了能进入德国国家队而拒绝了加纳足协的征召，不过在2007年由于违纪的原因，博阿滕被德国U21国家队放弃。2009年博阿滕宣布加入加纳国家队，2010年他随队征战了南非世界杯，并帮助球队打进8强，创造了非洲球队在南非世界杯上的最佳战绩。 南非世界杯之后，由于和足协以及新帅斯特法诺维奇关系不好，博阿滕一直没有再为国家队比赛。为了明年年初的非洲杯，加纳足协多次派人到米兰劝说他重返国家队，令人意想不到的是，加纳足协最终等来的不是博阿滕回心转意的消息，而是一纸退出国家队的声明。 不管是什么原因，博阿滕退出国家队对AC米兰来说肯定是好消息。摆在眼前的利好就是他在明年年初不用参加非洲杯了，这对伤病众多的米兰来说当然是再好不过了。非洲国家队在明年1月20日到2月12日进行，如果博阿滕参赛，即便加纳队小组赛后就被淘汰，那他也将至少错过三场意甲联赛，而球队如果赛前集结训练的话，1月16日的米兰德比他也将错过。 (燃洋)	体育
前瞻：一大难题困扰火箭 遇跑轰大队应做鏖战准备 新浪体育讯 北京时间1月10日消息，火箭98-96战胜雷霆，三连败后迎来两连胜。带着2胜3负，火箭将回到久违了的丰田中心。11日上午9点30分，火箭将首先迎接尼克斯的挑战。 1月11日上午9点30分直播火箭VS尼克斯 点击进入新浪直播室 “我们在比赛中犯了一些完全没有必要的错误。必须承认，我们的身体有些疲劳。”战胜雷霆后，火箭主帅里克-阿德尔曼说。的确如此，连续五个客场，两个背靠背，火箭是名副其实的疲劳之师。尤其是与卫冕冠军凯尔特人大战三百回合后，火箭主力们的体能已然到了极限。这一点尤其体现在姚明身上。客胜凯尔特人，姚明干得很漂亮，得到26分8个篮板4次助攻2次盖帽。然而到了打雷霆，身心疲乏的姚明状态大跌，半场没有一个运动战进球，只得到可怜兮兮的2分，全场只有10投3中贡献14分。阿德尔曼也想让大家轮换休息一下，但火箭在一度领先15分的情况下再次犯了老毛病，后程发力的雷霆逐渐追平了比分，无奈之下姚明等人只能在末节玩命出战。 如此情况下，火箭尽管是主场作战，但体能上一点都不占优势，因为他们是背靠背，要从俄城飞回休斯顿，而尼克斯则是休息了一天。更加不利的是，跑轰教头迈克-德安东尼驾临乌烟瘴气的大苹果城后，成功把7秒跑轰风格植入尼克斯。尽管现在尼克斯战绩不佳，但他们无疑是联盟攻击速度最快的球队之一。知道火箭体能是瓶颈，德安东尼肯定会授命弟子们将跑轰进行到底，争取利用速度拖死火箭。所以，火箭应该做好打硬仗的准备：1.主力应战时，应全力压低节奏，让比赛更多地进入阵地战；2.若主将实在疲惫不堪，应该大胆地让替补们顶班。火箭替补近期的良好表现，让第2点变得更有必要。拉夫-阿尔斯通持续低迷，打雷霆只有7投1中得5分，是首发五人中最少的。而恰好阿隆-布鲁克斯近期很HIGH，打绿军成为最后几分钟的战术“核心”，打雷霆10投5中得12分。尽管斯科拉打雷霆时有所回暖，但打绿军时他罕见地交了白卷，比赛中明显可以看出，阿根廷人最近状态下滑明显。兰德里有活力，即便阿德尔曼不让打首发，但适当增加其出场时间，帮衬一下斯科拉还是很有必要。 火箭又遇背靠背，麦蒂可能还会缺战。但事实证明，瓦佛尔完全有能力顶班——客战猛龙，末节9投7中飚下18分；客战老鹰，曾在抽筋的情况下投中扳平球，差点成为英雄；战76人，7投6中，三分球2投2中得14分；战凯尔特人，比赛还剩43.8秒投中反超三分球；今天打雷霆，瓦佛尔三分球只有6投1中，但2分球却是4投全中，得到14分。此前两场没有麦蒂的比赛，火箭都打得不错，憾负老鹰，战胜绿军，与瓦佛尔的优异表现密切相关。所以，瓦佛尔十有八九还会继续首发，而且他的发挥好坏，能对战局起到莫大影响。 火箭也有好消息传出，肖恩-巴蒂尔有可能伤愈复出。巴蒂尔因伤缺战时，火箭官方的说法就是“肖恩会在下一个主场复出。”现在火箭正是用兵之时，尤其是原本是最强点的小前锋位置上也无人能用。巴蒂尔的复出能缓解阿德尔曼的用人危机，而火箭也能排出相对“和谐”的阵容——瓦佛尔打分卫，巴蒂尔司职小前锋，其他三个位置不变。 尼克斯最近的状态也很低迷，1月9日输给小牛后已是两连败。但千万不要忽视这支跑轰大队。这种球队有点靠天吃饭的意思，命中率好了谁都能灭，准星没了谁也能输。谁也不敢保证他们会不会借火箭撒气，从低谷中走出来。就像三连败的火箭能战胜凯尔特人一样，两连败的尼克斯也存在战胜火箭的可能。所以明天的比赛对于火箭来说，肯定不会太过轻松。 预计双方首发 火箭：阿尔斯通、瓦佛尔、巴蒂尔、斯科拉、姚明 尼克斯：杜洪、昆廷-理查德森、杰弗里斯、威尔森-钱德勒、大卫-李 (王玉国)	体育
乒超-马龙不敌王皓连丢2分 马琳伤退张继科率队胜 新浪体育讯 北京时间9月13日消息，2010年中国乒乓球超级联赛男子团体展开第二阶段的争夺，在争冠组的比赛中，王皓先后击败吴尚垠和马龙，小将闫安也再度战胜马龙，他们帮助八一队以3比1拿下浙商队；马琳因腰伤复发在比赛中退出，他丢掉两分，结果山东队在客场以3比1击败宁波队。 宁波海天塑机 1比3 山东鲁能潞安 在第一阶段的两回合交锋中双方各胜一场。山东队今天抽到了主队，张继科依旧是第一单打，他在首盘出战宁波队的二单吴灏。张继科开场后就连连利用抢攻得分，他以11比7先声夺人。吴灏在第二局发挥得更好，他的拉球给张继科制造了不小的麻烦，他以11比9扳回一城。接下来的比赛中张继科渐渐展现实力上的优势，他以11比9、11比8连胜两局，他以3比1获胜，山东队以1比0领先。 马琳作为宁波队的一单在第二盘登场，他对阵韩国外援朱世赫。一开场马琳就掌控场上主动权，他打得很有耐心，他以11比7先胜。朱世赫在第二局更多地采取削中反攻，马琳几次出现失误，朱世赫以11比8追回一局。在第三局以11比7拿下后，马琳腰伤复发，这让他无奈退赛弃权，这样后两局算朱世赫都以11比0获胜，他以3比2击败马琳，山东队将总比分改写为2比0。 在双打比赛中，宁波队的吴灏/唐鹏并没有放弃，他们经过五局苦战以3比2(11比8、3比11、11比9、5比11、13比11)击败山东队的方博/张超，宁波队将总比分扳为1比2。 第四盘马琳因伤无法出场，张继科以3比0(11比0、11比0、11比0)获胜，山东队从而以3比1击败宁波队，他们以1比0的总比分领先。 八一熔盛重工 3比1 浙商银行 第一阶段的两回合交锋中，八一队和浙商队各胜一场。八一队抽到了主队，王皓依旧作为一单亮相，他对阵浙商队的韩国外援吴尚垠。王皓开场后就表现积极，他以两个11比7连胜两局。第三局双方多次战平，10平、11平后吴尚垠连得两分，他以13比11扳回一局。在第四局中两人争夺依旧激烈，10平后轮到王皓发力，他连取两分以12比10拿下，这让他以3比1击败吴尚垠，八一队以1比0领先。 浙商队的一单马龙在第二盘出战八一队的闫安。马龙一开赛就用凶猛的抢攻压制住对手，他以11比5轻松拿下首局。接下来的比赛中马龙打得有些急躁，他在场上失误较多，而闫安则敢打敢拼，结果他以11比5、12比10、11比7连扳三局，他以3比1逆转马龙，八一队将总比分扩大为2比0。 双打比赛中，浙商队的郝帅/吴尚垠以3比0(11比9、11比6、14比12)完胜八一队的闫安/柳洋，浙商队将比分扳为1比2。 王皓和马龙在第四盘遭遇，首局王皓一路领先以11比5拿下，马龙在第二局迅速做出回应，他以11比7扳回一城。王皓在第三局的拉球更有威胁，他以11比5再胜，放手一搏的马龙以11比7赢得第四局，双方战成2平。决胜局中王皓保持微弱领先，他以11比9拿下关键局，他以3比2险胜马龙，八一队从而以3比1击败浙商队，他们以1比0的总比分领先。接下来的两场比赛将移师浙商队的主场进行。 (Chimera)	体育
谢丽尔皮夹克+热裤超酷打扮 3000粉丝因何而嘘她(图) 新浪体育讯 尽管早有报道称谢丽尔将去掉自己名字中的科尔，改回自己婚前的姓氏“崔迪”，但在宣布与科尔分手四个月至今，英格兰国脚阿什利-科尔的太太依然在使用“谢丽尔-科尔”的名字。但在与科尔维持了不到四年的婚姻即将画上句号的时候，谢丽尔的名字也许很快就会改变。 据《每日邮报》透露，伦敦时间本周二，《X元素》的录制继续进行，制片人考威尔面对现场观众将谢丽尔称为“谢丽尔-崔迪”，而不是“谢丽尔-科尔”：“你们谁想听谢丽尔-崔迪唱歌？最好是现在对吧？”但谢丽尔身边的知情人，则否认谢丽尔已经把自己名字改回崔迪。“谢丽尔还没做决定，考威尔只是在开玩笑而已。” 事实上在2006年7月，谢丽尔在与阿什利-科尔举行婚礼之后，就将自己的家族姓氏“崔迪”改为了丈夫的姓氏“科尔”。但在今年2月宣布与科尔分手以及上个月向伦敦高级法院提交离婚诉讼之后，“科尔太太”即将重新成为“崔迪小姐”。 尽管谢丽尔已经要求朋友和同事们改称自己为崔迪，但在法律上，直到她正式与阿什利-科尔完成离婚手续之前，谢丽尔的名字依然将是谢丽尔-科尔。此外，“科尔太太”还正在准备将自己后颈部的“科尔夫人”纹身去掉，对于正处在演唱事业上升期的谢丽尔来说，名字的改变将不利于她继续征服欧洲和美国市场。 曾有消息称，谢丽尔有意将自己的首张专辑《三个字》以崔迪的名字重新出版，而在过去几个月中，谢丽尔对这张专辑倾注了大量的心血，为了能让专辑在欧洲市场大卖，谢丽尔几乎马不停蹄的巡回欧洲出席各种宣传活动。由于此前谢丽尔所在的“Girls Aloud”女子合唱团在欧洲取得了巨大成功，相对来说谢丽尔的名字就有些陌生。“Girls Aloud”此前曾取得的最大成就是在罗马尼亚流行歌曲榜排名第九，而在经过几个月的欧巡宣传之后，谢丽尔的专辑在德国拿到第45、在法国排第53、在荷兰位居第49位。而在谢丽尔计划中的美国市场，由于谢丽尔与“黑眼豆豆”主唱威尔、以及年轻舞蹈家德里克传出绯闻，这也许将有助于谢丽尔顺利开拓美洲市场。在即将播出的美国版《X元素》中，有人曾提议谢丽尔继续出任评委，但谢丽尔本人也承认，她担心美国观众能否听的懂自己的英国口音。 伦敦当地时间本周三，《X元素》继续在伦敦进行第三天的录制，该节目的三位评委被安排乘坐直升机直接抵达录制地点，为了配合这一环节，谢丽尔的穿衣风格也与此前形成了鲜明发差。她上穿一件黑色皮夹克，内衬黑白花纹的衬衣，下穿黑色紧身裤，再配上一副墨镜，一副男性化的超酷装扮，一改此前温柔甜美的女性特质。 尽管以前所未有的风格亮相，但谢丽尔和其他评委却遭到了在场的3000名观众的嘘声，因为他们集体迟到了两个小时。很多执着等待的粉丝因体力不支而晕倒，工作人员不得不向大家分发了矿泉水。有些等的不耐烦的歌迷甚至提前离去，而当天的节目录制也被迫拖延了两个小时。 对于谢丽尔来说，这一天注定充满意外和尴尬。在当天的节目中，谢丽尔和考威尔拒绝让另一位评委沃尔什打了10分的歌手过关，这引发了沃尔什的大放厥词。而令谢丽尔更加尴尬的是，考威尔和沃尔什甚至联合起来挖苦她，甚至旁敲侧击的批评谢丽尔的唱功。 故事是从一个四人女子组合上台开始的，考威尔开玩笑称：“你们的四人组一定不是从‘Girls Aloud’那里得到灵感吧，我猜你们一定只喜欢美国的合唱组。”这让一旁的谢丽尔一言不发、脸色铁青。之后一位26岁的罗马尼亚男模特演唱了谢丽尔的单曲《为爱而战》，沃尔什对他的表现猛烈抨击，而谢丽尔则笑着说：“你唱这首歌是个很棒的选择。”但沃尔什马上插话道：“他在现场的表现和你差不多。”尽管谢丽尔没有回击，但看起来十分生气，而考威尔和沃尔什则在一旁窃笑。 据知情人称：“他们恶毒的评论真的让谢丽尔十分尴尬，谢丽尔本来就对自己的唱功缺乏百分百的自信，特别是在‘Girls Aloud’解散后，没有其他女孩的陪伴，谢丽尔只能自己一个人独唱。而在现场几千名观众面前，被考威尔和沃尔什这样羞辱，对谢丽尔来说真的有些过分。”而《太阳报》则透露，沃尔什的恶语相加事出有因，因为谢丽尔曾经嘲笑过他的牙齿。此前沃尔什曾在考威尔的告诫下为自己的牙齿做了增白，但谢丽尔依然称沃尔什的牙齿看起来脏兮兮，沃尔什当时回击道：“至少我用的还是自己的牙齿。”《太阳报》透露，沃尔什之所以这样说，是因为在去年《X元素》节目中，谢丽尔曾在现场“假唱”，引发了各方非议。 据悉，《X元素》将在伦敦录制四天，之后下周转战都柏林，7月2日抵达卡迪夫，而7月9日到11日回到曼彻斯特。 (Same)	体育
科萨坚信间歇期后定更强 特鲁西埃赞赛季最佳一战 新浪体育讯 7月14日，陕西?灞队在主场1-1战平深圳红钻，上半时万厚良为西北狼首开纪录，下半时黄凤涛为深足追平比分。赛后科萨与特鲁西埃出席了新闻发布会。今天率队打出精彩比赛的特鲁西埃露着标志性的笑容走进发布厅现场。 特鲁西埃一上来首先表扬了自己弟子的表现，“今天的比赛是一场艰苦的战斗，不过在此前的联赛当中我们队好几次客场处于落后，但都没有能够追平平，今天能够在客场战平对手，并且还有取胜的机会，这是全体队员努力来的，无论是结果还是过程我都很满意，在场上落后了我们不但没放弃，我让他们往上压往上压，队员们做得很好。” 接下来陕西?灞队主帅科萨发言，在他看来今天球队输在了中路防守的老毛病上，不过科萨强调16天后陕西队可以做得更好，“正如我所料，这场比赛的确踢得很是艰难，不过我们的队员在场上都尽力啦，今天丢球的问题和往常一样，还是中路防守出了问题，但队员们都很拼，已经尽力了，下来我们有16天的调整时间，下一阶段我们可以更好的去冲击我们的目标如果届时还没有起色，那我们的结果则只能是在中游徘徊。” 最后的提问环节，记者提问特鲁西埃，这场比赛是否是深足本赛季发挥最好的一次，白巫师给予了肯定的回答，“是的，这的确是我们本赛季踢得最好的一场比赛，就像我说的那样，无论是过程还是结果我都满意，球员很好的完成了我的战术，在这里拿到1分我很高兴，接下来是一个休整期，相信我们会更加努力，在下一阶段成为一个没有人敢小视的球队。” (藤子不三雄)	体育
日本足协竞选FIFA执委 中国方案不明或失外交良机 新浪体育讯 近日媒体以大量篇幅报道了张吉龙将代表中国足协竞选FIFA执委的消息，但实际上这仅仅是一厢情愿，目前中国足协对此次竞选还没有任何方案，相反日本足协已经正式宣布秘书长田岛幸三强势出击选举，希望能顺利接替小仓纯二的职位。目前距报名截止期11月6日还有不到一个月的时间，中国足协打得什么算牌无人知晓，联想到目前日本足协以各种利益积极作足协方面的工作，很可能最后足协放弃这次重要选举。 东亚联盟在十一国庆长假期间召开重要会议，中国足协副主席林晓华出席。此次会议上，东亚联盟主席、日本足协主席小仓纯二坚定地表示，日本将派出足协秘书长田岛幸三参加东亚区国际足联执委选举，以顺利接替小仓纯二的国际足联执委位置，从而继承日本足球在外交方面的影响力，日本人对这个位置势在必得。不过让其他东亚联盟成员吃惊的是，作为头号竞争者中国足协，没有提出任何建设性的意见，并没有表示要派出张吉龙竞选。某位与会的韩国足协人士向笔者透露，“日本人要竞选，中国方案不明，可能CFA(中国足协)会放弃。” 日本足协为了获得这个位置，已经开始了紧张的竞选公关和拉票活动，但中国足协这种听之任之的态度让人诧异，因为对此事足协和总局均没有内部开会研究，更不用说去公关拉票了。按照程序，人选需要先经中国足协内部讨论研究，随后再上报总局。笔者获悉现在日本方面正在积极作中国足协的工作，以日本足协的能力和魄力，相信说服中国足协并不是什么难事。 足协方面担心张吉龙的身体和年龄，表示一旦张吉龙退休后，可能出现亚足联朝中无人的空白期，这对中国足球未来的发展不利，这似乎更是一种托词和借口。张吉龙现在仅仅58岁，完全可以像小仓纯二一样干到70岁，而且以张吉龙在国际足坛的影响力还能为中国足球谋取更大的利益，一旦张吉龙当选FIFA执委，这不仅是中国足球干部在FIFA担任的最高职务，也将为中国申世打开一道敞亮的大门。但从目前情况看，中国足协可能会与这个机遇擦肩而过了。 就在中国足协有意束手旁观之时，西亚势力却蠢蠢欲动欲在明年初的亚足联大选上有所斩获。11日，西亚联盟主席、约旦足协主席哈桑宣布将挑战郑梦准，参加亚洲区的国际足联副主席选举，这毫无疑问给亚足联选举抛下了一颗重磅炸弹。明年初的亚足联大选上，中国足协何去何从迈出的一步将至关重要。 (小隆)	体育
埃托奥私生女被曝定居意大利 七年未见猎豹面(图) 新浪体育讯 这个夏天，关于埃托奥和巴萨的事情可以说是沸沸扬扬，三冠王功臣成为清洗对象，而在埃托奥的转会过程中，一个钱字似乎左右了一切，先是埃托奥向曼城所要千万签字费，随后又有消息称埃托奥到国米年薪世界第二。 总而言之，在很多人眼里埃托奥就是贪财，所以才会试图用转会获得更多的钱。不过最近意大利媒体又有新的曝料，埃托奥之所以最后选择了国米，并不只是因为国米薪水高而且实力强，埃托奥愿意来意甲的一个原因是他有个私生女在意大利。 在距离卡利亚里20公里的地方有个名为Sarroch的城市，这里有一家属于莫拉蒂家族的炼油厂。在卡利亚里的附近还有另外一个小城镇名为Flumini，在这里有个36岁的女人，名叫安娜-巴兰卡，安娜是个单身妈妈，有个女儿叫安妮今年7岁，由于Flumini并不大，所以在当地几乎人人都知道这对母女。 对于埃托奥来说，安娜母女就更熟悉了，因为这位安娜-巴兰卡当年就是自己的女人。在转会巴萨之前，埃托奥在马洛卡效力，当时的安娜也生活在马洛卡，她在一家夜总会工作。埃托奥在逛夜店的过程中认识了安娜，当时的埃托奥19岁，安娜27岁，两人随后产生了感情，并且一起生活了一年半的时间。 2002年安娜生下了一个女儿，但是埃托奥却并不承认这是自己的骨肉，2年之后，安娜得到了帮助，卡利亚里一位名叫巴奇西奥-梅里的律师出面帮助安娜打官司，最后通过DNA的鉴定，小安妮确实是埃托奥的亲骨肉，法院判定埃托奥每月要向安妮支付3000欧元的抚养费。 2005年，已经回到意大利的安娜带着女儿安妮前往巴萨并且观看了埃托奥的训练，但是埃托奥却并不愿意和这对母女见面，安娜对于埃托奥的态度感到失望，以后就再也没有试图和他联系。 2007年，埃托奥和科特迪瓦女友结婚，也就是他现在的妻子，他们生育了三个孩子，现在孩子与埃托奥的妻子一起生活在法国。 意大利媒体说埃托奥去意大利是因为对于私生女的愧疚，显然这更像是意大利媒体的一厢情愿，不过既然卡利亚里周围既有莫拉蒂的地盘也有埃托奥的旧情，那么当新赛季国米前往撒丁岛首府卡利亚里的时候，埃托奥会是一种什么心情？ (Lrivta)	体育
